war_id,war_name,side,bucket,low,high,notes
herero_namaqua_genocide,Herero and Namaqua Genocide,German Empire / German South-West Africa,military_killed,1441,1649,"Explicit breakdown found: 676 killed in action, 76 missing, and 689 died of disease, totaling 1,441 military dead or missing. A separate aggregate says 1,749 Germans died in the conflict; subtracting the separately listed 100 civilians gives an implied upper military figure of 1,649, but the 1,441 b"
herero_namaqua_genocide,Herero and Namaqua Genocide,German Empire / German South-West Africa,civilians_killed_directly,,,"Direct civilian deaths caused by German forces are certainly part of the genocide, but the literature generally reports aggregate Herero/Nama population losses rather than a clean direct-killing civilian subtotal."
herero_namaqua_genocide,Herero and Namaqua Genocide,German Empire / German South-West Africa,deaths_from_actions:genocidal_campaign_aggregate,40000,80000,"Aggregate Herero deaths from the German campaign, including direct killing, desert expulsion, blocked return to water and land, disease, starvation, camps, and forced labour. Madley gives 40,000-70,000 Herero killed; other summaries give 40,000-80,000 or a point estimate around 65,000."
herero_namaqua_genocide,Herero and Namaqua Genocide,German Empire / German South-West Africa,deaths_from_actions:genocidal_campaign_aggregate,10000,10000,"Aggregate Nama deaths from the German campaign, usually presented as about half of a prewar population of about 20,000. This includes direct killing and indirect deaths from camps, forced labour, starvation, disease, and displacement."
herero_namaqua_genocide,Herero and Namaqua Genocide,German Empire / German South-West Africa,deaths_from_actions:desert_expulsion,,,"A major killing mechanism after Waterberg/Ohamakari. Madley reports that about 1,000 Herero reached British Bechuanaland while the vast majority died of thirst and hunger en route, but no precise standalone desert-death total is available."
herero_namaqua_genocide,Herero and Namaqua Genocide,German Empire / German South-West Africa,deaths_from_actions:camp,7700,9682,"Madley cites official German figures of about 7,700 deaths among 17,200 Herero and Nama internees, about 45%. A secondary military study citing Sarkin reports 7,682 of 15,000 Herero and 2,000 Nama died from 1904 to 1908; because the wording is ambiguous, this is treated as a possible high rather tha"
herero_namaqua_genocide,Herero and Namaqua Genocide,German Empire / German South-West Africa,deaths_from_actions:camp,1032,3307,"An official report recorded 1,032 deaths among 1,795 prisoners in eight months. Another account says about 3,500 Herero and Nama were sent to Shark Island and only 193 returned; this implies up to 3,307 deaths or non-returns, but the figures are not strictly equivalent."
herero_namaqua_genocide,Herero and Namaqua Genocide,Herero and Nama resistance,military_killed,,,"Herero and Nama combatant deaths cannot be separated reliably from civilian deaths. Sources describe about 8,000-10,000 Herero warriors early in the war and about 3,000-5,000 Herero combatants defeated at Waterberg/Ohamakari, but do not provide a reliable killed-in-action subtotal distinct from the "
herero_namaqua_genocide,Herero and Namaqua Genocide,Herero and Nama resistance,civilians_killed_directly,100,160,German civilian deaths caused by Herero/Nama forces were concentrated in the initial uprising. They are counted separately from German military deaths.
mexican_revolution,Mexican Revolution,Porfirian / Federal / Huertista government forces,military_killed,,,"No reliable side-specific national total found. The all-faction combat-death range used in this report is 125,000 to 250,000. Veracruz produced about 193 Mexican soldier deaths, but that is only one event and not a Federal/Huertista war total."
mexican_revolution,Mexican Revolution,Porfirian / Federal / Huertista government forces,civilians_killed_directly,,,Direct civilian killing by federal/Huertista forces is documented qualitatively but not countable nationally from the sources found.
mexican_revolution,Mexican Revolution,Porfirian / Federal / Huertista government forces,deaths_from_actions:scorched_earth_displacement_concentration_public_health_collapse,,,"Federal campaigns contributed to indirect mortality, but McCaa's national excess-death estimate is not apportioned by faction."
mexican_revolution,Mexican Revolution,Maderistas and early anti-Díaz revolutionaries,military_killed,,,No side-specific national total found. Early-phase Maderista losses are included in aggregate Revolution combat-death estimates.
mexican_revolution,Mexican Revolution,Maderistas and early anti-Díaz revolutionaries,civilians_killed_directly,303,308,"This is a documented event floor, not a national total for all Maderista direct civilian killings."
mexican_revolution,Mexican Revolution,Constitutionalists / Carrancistas / Obregonistas,military_killed,,,"No reliable national total by side found. Event reports include 138 Constitutionalist killed in one Celaya phase, but this is not a total."
mexican_revolution,Mexican Revolution,Constitutionalists / Carrancistas / Obregonistas,civilians_killed_directly,,,"Executions and reprisals are documented, but no reliable direct-civilian national total by Constitutionalist/Carrancista forces was found."
mexican_revolution,Mexican Revolution,Constitutionalists / Carrancistas / Obregonistas,deaths_from_actions:campaign_displacement_requisition_public_health_collapse,,,"Constitutionalist campaigns contributed to the national demographic disaster, but indirect deaths are not apportioned by faction in the demographic literature found."
mexican_revolution,Mexican Revolution,Villistas / Conventionist northern forces,military_killed,,,"No reliable national total by side found. Event-level reports include about 4,000 Villistas dead in one Celaya phase and about 70 to 100 attackers killed during the Columbus raid."
mexican_revolution,Mexican Revolution,Villistas / Conventionist northern forces,civilians_killed_directly,26,28,"This is an event floor for two prominent incidents, not a national total of all Villista direct civilian killings."
mexican_revolution,Mexican Revolution,Zapatistas / Liberation Army of the South,military_killed,,,No reliable Zapatista military-death total found; losses are included in aggregate Revolution combat-death estimates.
mexican_revolution,Mexican Revolution,Zapatistas / Liberation Army of the South,civilians_killed_directly,,,Direct killings are documented qualitatively but not countable nationally from the sources found.
mexican_revolution,Mexican Revolution,"United States forces, Texas Rangers, border law-enforcement, and vigilantes",military_killed,31,51,"Approximate event-based range from Veracruz, Columbus, and other Punitive Expedition/border incidents; not a single official all-cause total from the sources found. Veracruz caused about 19-21 U.S. servicemen killed; Columbus caused 8 U.S. soldiers killed in AP's account and 14 military American cas"
mexican_revolution,Mexican Revolution,"United States forces, Texas Rangers, border law-enforcement, and vigilantes",civilians_killed_directly,15,300,Porvenir is the confirmed point estimate. Broader Texas border violence is relevant context but overlaps only partly with the Mexican Revolution as a war.
mexican_revolution,Mexican Revolution,Unattributed aggregate of all Mexican belligerents and war conditions,military_killed,125000,250000,"COW-derived strict battle deaths are 125,000. Other summarized estimates give about 200,000 to 250,000 combat or military deaths."
mexican_revolution,Mexican Revolution,Unattributed aggregate of all Mexican belligerents and war conditions,civilians_killed_directly,125000,125000,"This is an aggregate literature-derived estimate, not a per-side attribution."
mexican_revolution,Mexican Revolution,Unattributed aggregate of all Mexican belligerents and war conditions,deaths_from_actions:famine_disease_displacement_public_health_collapse,250000,1750000,"Residual estimate. McCaa reports responsible mortality scenarios from about 0.5 million to 2.0 million excess deaths and prefers 1.4 million excess deaths. Subtracting broad combat/direct-death components produces a residual indirect-death range; this is an accounting inference, not a published fact"
mexican_revolution,Mexican Revolution,Unattributed aggregate of all Mexican belligerents and war conditions,deaths_from_actions:epidemic,300000,600000,"Modern scholarship gives 300,000 to 600,000 flu deaths in Mexico. McCaa treats the flu as part of the broader revolutionary demographic disaster because war reduced public-health capacity."
balkan_wars,First and Second Balkan Wars,Bulgaria,military_killed,33000,65000,"About 65,000 Bulgarian dead across both Balkan Wars is the most useful combined-war estimate. The lower value reflects widely cited First Balkan War non-recoverable deaths, often broken down as 14,000 killed and 19,000 dead of disease."
balkan_wars,First and Second Balkan Wars,Bulgaria,civilians_killed_directly,700,,"No reliable aggregate civilian-death total caused by Bulgarian forces was found. The low value is only a documented-event minimum for Doxato and Serres, not a total."
balkan_wars,First and Second Balkan Wars,Bulgaria,deaths_from_actions:displacement,,,"Bulgaria contributed to the wider Ottoman Muslim refugee and mortality catastrophe, but the available sources do not cleanly separate Bulgarian-caused deaths from deaths caused by Serbian, Greek, Montenegrin, irregular, disease, hunger, and flight conditions."
balkan_wars,First and Second Balkan Wars,Serbia,military_killed,36000,36550,"Hall gives at least 36,000 Serbian dead; another Hall book snippet gives 36,550 dead and 55,000 wounded across both wars."
balkan_wars,First and Second Balkan Wars,Serbia,civilians_killed_directly,20000,120000,"Serbian responsibility is central in accounts of Albanian massacres, but high estimates usually combine Serbian and Montenegrin forces and may include deaths from flight, hunger, or cold."
balkan_wars,First and Second Balkan Wars,Serbia,deaths_from_actions:ethnic_cleansing,,,"Displacement estimates such as 60,000-300,000 expelled are cited in secondary summaries, but deaths among the displaced are not separated from massacre totals."
balkan_wars,First and Second Balkan Wars,Greece,military_killed,6719,9500,"Hall gives about 9,500 Greek dead across the wars. A First Balkan War breakdown gives 5,169 killed and 1,550 dead of disease, or 6,719 deaths before Second Balkan War losses."
balkan_wars,First and Second Balkan Wars,Greece,civilians_killed_directly,195,,"No reliable aggregate civilian-death total caused by Greek forces was found. The low value is a documented-event minimum, not a total."
balkan_wars,First and Second Balkan Wars,Greece,deaths_from_actions:scorched_earth,,,"Greek village-burning and forced flight are documented in Carnegie materials, but deaths from displacement, exposure, or disease are not aggregated by perpetrator."
balkan_wars,First and Second Balkan Wars,Montenegro,military_killed,2836,3242,"Hall gives about 3,000 Montenegrin dead. A First Balkan War breakdown gives 2,836 killed and 406 dead of disease."
balkan_wars,First and Second Balkan Wars,Montenegro,civilians_killed_directly,,,No reliable Montenegro-only civilian death total found.
balkan_wars,First and Second Balkan Wars,Montenegro,deaths_from_actions:ethnic_cleansing,,,Montenegrin contribution to displacement is documented but not numerically separable from Serbian operations.
balkan_wars,First and Second Balkan Wars,Romania,military_killed,1500,1600,"Romania's Second Balkan War deaths were overwhelmingly from cholera rather than combat; estimates are about 1,500-1,600."
balkan_wars,First and Second Balkan Wars,Romania,civilians_killed_directly,0,0,No reliable evidence found of a significant documented civilian death toll directly caused by Romanian forces in the brief 1913 invasion of Bulgaria.
balkan_wars,First and Second Balkan Wars,Ottoman Empire,military_killed,125000,125000,"Hall gives Ottoman military dead as many as 125,000. The figure should be treated as a maximum-style point estimate rather than a precise count."
balkan_wars,First and Second Balkan Wars,Ottoman Empire,civilians_killed_directly,15960,,The direct-death minimum is based on Carnegie's summarized figure; the high is unknown because larger figures usually combine deaths and expulsions.
balkan_wars,First and Second Balkan Wars,Ottoman Empire,deaths_from_actions:ethnic_cleansing,15960,,"Ottoman reconquest of Eastern Thrace caused mass killing, burning, and expulsion. The often-cited 200,000 figure is killed-or-expelled, not deaths alone."
wwi,World War I,Allied and Associated Powers,military_killed,5135000,5647600,"Range from Prost's table in 1914-1918 Online: Urlanis low and Prost evaluation high. Britannica/U.S. War Department cross-check gives 5,142,631 Allied killed and died. Definitions vary on disease, POWs, missing, and colonial laborers."
wwi,World War I,Allied and Associated Powers,civilians_killed_directly,720,,No reliable all-theater total for civilians directly killed by Allied forces was found. The numeric low is only a documented partial figure for Allied air raids on Germany.
wwi,World War I,Allied and Associated Powers,deaths_from_actions:blockade,424000,763000,"Civilian excess deaths associated with food and fuel shortages under the Allied blockade of Germany. Attribution is contested because German administration, black markets, influenza, and post-armistice blockade continuation also mattered."
wwi,World War I,Allied and Associated Powers,deaths_from_actions:blockade/famine,200000,500000,"Co-caused by Allied naval blockade, Ottoman requisitioning and administrative failure, transport disruption, and natural disasters. Not additive with the same event listed under Central Powers responsibility."
wwi,World War I,Allied and Associated Powers,deaths_from_actions:displacement/disease/famine/massacre,701166,1500000,"Ottoman records cited by 1914-1918 Online list 701,166 Muslim refugees dying on the road; total Muslim deaths in Eastern Anatolia are estimated around 1.5 million. Deaths mix Russian invasion, Armenian bands, starvation, disease, massacre, and displacement; attribution is not clean."
wwi,World War I,Allied and Associated Powers,deaths_from_actions:forced_labor/porterage,150700,,"Minimum from British, Belgian, and Portuguese colonial laborer deaths in 1914-1918 Online; French laborer deaths are listed as unknown, so this is an undercount. Some laborers were military auxiliaries rather than civilians."
wwi,World War I,Allied and Associated Powers,deaths_from_actions:famine/disease/requisition/displacement,742500,742500,"Approximate African civilian losses from war zones, rebellions, famine, malnutrition, and disease. Allied colonial powers caused much of the mobilization and requisitioning, but German and other forces also contributed; not additive with Central Powers African responsibility."
wwi,World War I,Central Powers,military_killed,3910000,4410000,"Range from Prost's table in 1914-1918 Online: Overmans low and Prost evaluation high. Britannica/U.S. War Department cross-check gives a lower 3,386,200 killed and died, less inclusive for some categories."
wwi,World War I,Central Powers,civilians_killed_directly,6500,,Direct civilian-killing totals are incomplete. Genocidal deportations and famine policies are recorded under deaths_from_actions to avoid double counting direct massacre and indirect death-march/starvation deaths.
wwi,World War I,Central Powers,deaths_from_actions:genocide/deportation/death_march/forced_labor,664000,1500000,"Range combines USHMM low estimate and broader 1914-1918 Online summary. Deaths resulted from Ottoman deportation, massacre, starvation, disease, death marches, and forced labor."
wwi,World War I,Central Powers,deaths_from_actions:genocide/massacre/deportation,250000,,"Britannica states estimates vary but upwards of 250,000 Assyrians were killed during World War I."
wwi,World War I,Central Powers,deaths_from_actions:genocide/deportation/ethnic_cleansing,289000,750000,Academic estimates for the broader 1914-1922/23 period. The WWI-only portion cannot be cleanly separated from post-armistice violence.
wwi,World War I,Central Powers,deaths_from_actions:famine/blockade/requisition/disease,200000,500000,"Co-caused by Ottoman requisitioning and administration, Allied naval blockade, transport breakdown, and natural disasters. Not additive with the same event listed under Allied responsibility."
wwi,World War I,Central Powers,deaths_from_actions:occupation/famine/disease/displacement,300000,650000,"Civilian losses from Serbian war-loss estimates, mostly typhus, famine, disease, occupation, and clashes. Caused by Central Powers invasion/occupation conditions but not all deaths were deliberate killings."
wwi,World War I,Central Powers,deaths_from_actions:occupation/famine/disease/displacement,275000,430000,"Civilian losses in Romania from 1914-1918 Online estimates; causes include disease, hunger, displacement, and occupation conditions."
wwi,World War I,Central Powers,deaths_from_actions:deportation/imprisonment/forced_labor,17700,17700,"Belgian civilians who died during expulsion, deportation, imprisonment, or death sentences under German occupation; separate from the approximately 6,000-6,500 murdered in 1914."
wwi,World War I,Central Powers,deaths_from_actions:forced_labor/porterage,20400,20400,"1914-1918 Online table assigns about 14,000 African soldier deaths and 6,400 African laborer deaths to German colonies."
wwi,World War I,Central Powers,deaths_from_actions:famine/disease/requisition/displacement,365500,365500,"East African civilian losses from war zone, rebellion, and famine. German operations and requisitioning contributed, but Allied requisitioning and campaigning also contributed; not solely attributable to Germany and not additive with Allied African responsibility."
armenian_genocide,"Armenian Genocide and late Ottoman genocides of Armenians, Assyrians, and Greeks",Ottoman Empire / Committee of Union and Progress / Turkish National Movement,military_killed,,,"No reliable casualty count exists for Ottoman/Turkish forces killed specifically in genocide operations. Ottoman World War I all-front military dead/missing are often given as 771844, but that figure is not rolled into the genocide total."
armenian_genocide,"Armenian Genocide and late Ottoman genocides of Armenians, Assyrians, and Greeks",Ottoman Empire / Committee of Union and Progress / Turkish National Movement,civilians_killed_directly,,,"Direct civilian killings by Ottoman/CUP/Turkish Nationalist forces were extensive, but a clean all-victim direct-killing subtotal is not available."
armenian_genocide,"Armenian Genocide and late Ottoman genocides of Armenians, Assyrians, and Greeks",Ottoman Empire / Committee of Union and Progress / Turkish National Movement,deaths_from_actions:deportation/camp/starvation/disease/ethnic_cleansing,664000,1500000,Aggregate Armenian genocide deaths. USHMM gives 664000-1200000 for the main 1915-1916 genocide; broader historical ranges commonly extend to 1500000 for 1915-1923. Direct and indirect components are not cleanly separable.
armenian_genocide,"Armenian Genocide and late Ottoman genocides of Armenians, Assyrians, and Greeks",Ottoman Empire / Committee of Union and Progress / Turkish National Movement,deaths_from_actions:concentration_camp/starvation/disease,400000,400000,"Tatoyan reports that detailed contemporary estimates assigned about 400000 Armenian deaths in 1916 to concentration camps in Syria and Mesopotamia due to starvation, disease, and subsequent actions. This is a subcomponent of the Armenian aggregate, not an additional total."
armenian_genocide,"Armenian Genocide and late Ottoman genocides of Armenians, Assyrians, and Greeks",Ottoman Empire / Committee of Union and Progress / Turkish National Movement,deaths_from_actions:deportation/massacre/forced_flight/ethnic_cleansing,250000,300000,Britannica says upwards of 250000 Assyrians were killed during World War I; 250000-300000 is a common range in Assyrian and secondary summaries.
armenian_genocide,"Armenian Genocide and late Ottoman genocides of Armenians, Assyrians, and Greeks",Ottoman Empire / Committee of Union and Progress / Turkish National Movement,deaths_from_actions:deportation/labor_battalions/starvation/disease/ethnic_cleansing,289000,750000,Academic estimates for Ottoman Greek deaths in Anatolia during 1914-1922/1923 range roughly 289000-750000. Higher claims exist but are not used in the main roll-up.
armenian_genocide,"Armenian Genocide and late Ottoman genocides of Armenians, Assyrians, and Greeks",Ottoman Empire / Committee of Union and Progress / Turkish National Movement,deaths_from_actions:blockade/famine/disease/crop_destruction,200000,200000,"Some sources state that at least 200000 people in Armenia, mostly refugees, died from starvation or disease in 1918-1920 partly due to Turkish blockade and crop destruction. This is flagged separately and not added to the main roll-up because of possible overlap with Armenian survivor/refugee counts"
armenian_genocide,"Armenian Genocide and late Ottoman genocides of Armenians, Assyrians, and Greeks",Russian Empire / Armenian volunteer and Armenian National forces,military_killed,,,No reliable military death figure was found that is specific to this genocide dataset rather than the wider Caucasus front and Armenian-Turkish wars.
armenian_genocide,"Armenian Genocide and late Ottoman genocides of Armenians, Assyrians, and Greeks",Russian Empire / Armenian volunteer and Armenian National forces,civilians_killed_directly,,60000,"Armenian/Russian-associated forces committed revenge killings and massacres of Muslim civilians, but reliable aggregate numbers are lacking and politically contested."
armenian_genocide,"Armenian Genocide and late Ottoman genocides of Armenians, Assyrians, and Greeks",Kingdom of Greece / Greek occupation forces and associated bands,military_killed,,,Greek military deaths in 1919-1922 belong to the wider Greco-Turkish War and are not counted as part of the Ottoman genocides dataset.
armenian_genocide,"Armenian Genocide and late Ottoman genocides of Armenians, Assyrians, and Greeks",Kingdom of Greece / Greek occupation forces and associated bands,civilians_killed_directly,,,"Greek occupation forces and associated bands committed serious atrocities against Turkish/Muslim civilians, but no reliable all-region aggregate death toll was found."
russian_civil_war,"Russian Civil War (including Red/White Terror, famines, and anti-Jewish pogroms)",Bolshevik / Soviet side,military_killed,225000,939755,"Low combines Urlanis's 125,000 Red Army KIA with Patterson's cited Soviet-demographic estimate of about 100,000 Red Army typhus deaths in 1918–1920. High is the broader Red Army dead-or-missing figure reported in military-loss summaries and is not directly comparable to KIA-only estimates."
russian_civil_war,"Russian Civil War (including Red/White Terror, famines, and anti-Jewish pogroms)",Bolshevik / Soviet side,civilians_killed_directly,52975,152750,The total adds conservative Red Terror estimates to the Suny-derived Red pogrom estimate. This avoids using very high broad 'Red Terror' estimates that may include indirect deaths or overlap with famine and pacification campaigns.
russian_civil_war,"Russian Civil War (including Red/White Terror, famines, and anti-Jewish pogroms)",Bolshevik / Soviet side,deaths_from_actions:famine,1000000,10000000,"Total 1921–1922 famine mortality, not a Bolshevik-only toll. Soviet requisitioning and War Communism are identified as contributing factors alongside drought, prior war destruction, transport collapse, livestock loss, epidemics, and Allied blockade."
russian_civil_war,"Russian Civil War (including Red/White Terror, famines, and anti-Jewish pogroms)",Bolshevik / Soviet side,deaths_from_actions:camp,15000,240000,"Estimates vary by definition. Some summaries cite about 15,000 killed during suppression; Sennikov's broader estimate gives about 240,000 total Tambov regional losses from war, executions, and imprisonment in concentration camps in 1920–1922. Not added mechanically to Red Terror or famine totals bec"
russian_civil_war,"Russian Civil War (including Red/White Terror, famines, and anti-Jewish pogroms)",Bolshevik / Soviet side,deaths_from_actions:ethnic_cleansing,10000,500000,Decossackization estimates are highly contentious and often mix deaths with deportations; this range should be read as killed-or-deported rather than confirmed deaths alone.
russian_civil_war,"Russian Civil War (including Red/White Terror, famines, and anti-Jewish pogroms)",White / anti-Bolshevik Russian side,military_killed,175500,650000,"Low is Urlanis's KIA estimate for White armies and Poles combined, so it is not cleanly White-only. High is the broad 650,000 White Army killed figure reported in secondary military-loss summaries."
russian_civil_war,"Russian Civil War (including Red/White Terror, famines, and anti-Jewish pogroms)",White / anti-Bolshevik Russian side,civilians_killed_directly,25950,525500,The structured range combines White Terror estimates excluding pogroms with the Suny-derived White pogrom share. White Terror figures are among the most contested numbers in the conflict.
russian_civil_war,"Russian Civil War (including Red/White Terror, famines, and anti-Jewish pogroms)",White / anti-Bolshevik Russian side,deaths_from_actions:displacement,,,"White armies and White-controlled regimes contributed to displacement, transport disruption, requisitions, imprisonment, and epidemic conditions, but no reliable White-only indirect-death toll was found. Direct terror and pogrom deaths are counted above."
russian_civil_war,"Russian Civil War (including Red/White Terror, famines, and anti-Jewish pogroms)","Ukrainian nationalist, Green, peasant-insurgent, and local warlord forces",military_killed,,,"No reliable aggregate military-death estimate separated these heterogeneous forces from Red, White, Polish, and civilian losses."
russian_civil_war,"Russian Civil War (including Red/White Terror, famines, and anti-Jewish pogroms)","Ukrainian nationalist, Green, peasant-insurgent, and local warlord forces",civilians_killed_directly,22750,97500,This side's most clearly attributable mass-casualty category is anti-Jewish pogrom killing. It excludes non-Jewish civilian killings for which no aggregate separated estimate was found.
russian_civil_war,"Russian Civil War (including Red/White Terror, famines, and anti-Jewish pogroms)",Foreign interventionist and border-state forces,military_killed,,,"No reliable aggregate military-death estimate was found for all foreign and border-state intervention forces. Urlanis's 175,500 KIA estimate combines White armies and Poles and cannot be used as a separate foreign total."
russian_civil_war,"Russian Civil War (including Red/White Terror, famines, and anti-Jewish pogroms)",Foreign interventionist and border-state forces,civilians_killed_directly,,,"Foreign and border-state forces committed local violence, but I found no responsible aggregate direct-civilian death estimate separated from other belligerents."
russian_civil_war,"Russian Civil War (including Red/White Terror, famines, and anti-Jewish pogroms)",Foreign interventionist and border-state forces,deaths_from_actions:blockade,,,"The Allied economic blockade is identified as a contributing factor to the 1921–1922 famine, whose total mortality is commonly cited around 5 million and ranged in estimates from 1–10 million. No blockade-only death toll was found."
greco_turkish_war,Greco-Turkish War and population exchange,Kingdom of Greece / Greek occupation forces,military_killed,24240,42335,"Low/point adds official Greek categories 19,362 killed plus 4,878 died outside combat. High adds 18,095 missing, but the missing category may overlap with prisoners and presumed captivity deaths. About 7,000 Greek prisoners are often presumed to have died in Turkish captivity, but this is not added "
greco_turkish_war,Greco-Turkish War and population exchange,Kingdom of Greece / Greek occupation forces,civilians_killed_directly,15000,,"At least 15,000 direct civilian killings are supported as a minimum by Rummel. Higher direct-only totals cannot be separated reliably from refugee deaths, disease, starvation, and population loss."
greco_turkish_war,Greco-Turkish War and population exchange,Kingdom of Greece / Greek occupation forces,deaths_from_actions:displacement,,640000,"Justin McCarthy estimates 640,000 Muslim deaths in the Greek/British zones in 1919–1922, with many deaths among refugees, but Travlos/Erickson describe the apportionment as arbitrary. This is a contested population-loss estimate, not a direct count."
greco_turkish_war,Greco-Turkish War and population exchange,Kingdom of Greece / Greek occupation forces,deaths_from_actions:scorched_earth,,,"Sources report large-scale destruction, including 30,000+ buildings and 250+ villages burned in one summary and 160,739 destroyed buildings in McCarthy's discussion of Lausanne-era Turkish statistics. Mortality attributable to this destruction cannot be separated cleanly."
greco_turkish_war,Greco-Turkish War and population exchange,Turkish National Movement / Ankara Government,military_killed,11641,22791,"Low/point adds 9,167 killed and 2,474 died of wounds or non-combat causes. High adds 11,150 missing, but this may overcount because missing and prisoner categories are uncertain. OnWar gives 20,000 Turkish fatalities for the narrower 1921–1922 interstate-war coding."
greco_turkish_war,Greco-Turkish War and population exchange,Turkish National Movement / Ankara Government,civilians_killed_directly,10000,150000,The direct-killing high is approximate and deliberately not added mechanically event by event because some deaths are included in broader Greek genocide and Smyrna catastrophe estimates.
greco_turkish_war,Greco-Turkish War and population exchange,Turkish National Movement / Ankara Government,deaths_from_actions:deportation,264000,750000,"Rummel estimates 264,000 Greek civilians killed by Turkish nationalist forces during 1919–1922. The 750,000 high belongs to the wider academic range for Ottoman Greek deaths across the 1914–1922/23 period and therefore overextends the specific war period."
